"Triebzugnummer
Name",zugeordnete Triebköpfe,Aktuelle Konfiguration,"Abnahme
erstes Redesign
zweites Redesign
Ausmusterung","Auslands­zulassungen
ETCS",Umbauten oder Umrüstungen,"Bemerkung0
Unfälle"
"Tz 101
Gießen
(seit 13.07.2004)","401 001
401 501","Kurzzug
(9 Mittelwagen, seit Juni 2023)
Langzug (12 Mittelwagen, von 2006 bis 2023)","31.05.1991
26.05.2006",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)","Der Triebzug war von Dezember 2017 bis April 2018 aufgelöst, die Mittelwagen waren nach dem Entgleisungsschaden des Triebzuges 187 in Basel als Ersatz in diesen eingereiht."
"Tz 102
Flensburg
(von 25.08.2003 bis 08.02.2008)
Jever
(seit 29.04.2017)","401 002
401 502","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2021)","03.01.1991
08.02.2008
05.03.2021",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 103
Neu-Isenburg
(seit 26.05.2011)","401 003
401 503","Kurzzug
(9 Mittelwagen, seit Februar 2024)
Langzug
(12 Mittelwagen, von 2006 bis 2024)","11.03.1991
05.05.2006",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 104
Mühldorf a. Inn
(von 20.02.2004 bis 20.03.2015)
Fulda
(seit 21.03.2015)","401 004
401 504","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006 bis 2023)","14.03.1991
18.08.2006
01.04.2022",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)","Am 12.03.2004 kollidierte dieser Triebzug auf der Fahrt als ICE 692 München–Frankfurt–Berlin bei Vallstedt (Salzgitter-Engelnstedt) mit einer Geschwindigkeit von 130 km/h mit einem Auto. Der Autofahrer wurde dabei getötet, am Triebkopf 401 004 entstand erheblicher Sachschaden, sodass der gesamte Triebzug ins Werk Hamburg geschleppt werden musste.
Triebkopf 401 004 und der angrenzende Mittelwagen trugen im Mai und Juni 2004 eine Sonderbeklebung Pokalexpress für DFB-Pokal."
"Tz 105
Offenbach am Main
(seit 26.08.2003)","401 005
401 505","LDV-Kurzzug
(9 Mittelwagen)
Kurzzug
(9 Mittelwagen, von Dezember 2022 bis November 2023)
Langzug
(12 Mittelwagen, von 2007 bis 2022)","01.06.1991
13.07.2007
22.12.2023",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 106
Itzehoe
(seit 05.01.2006)","401 006
401 506","Kurzzug (9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006-2025)","21.03.1991
05.01.2006
xx.xx.2025",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015, nur 401 506)",Nach einem Stromrichterbrand im Frühjahr 1997 wurde 401 006 auf GTO umgebaut. Als Ersatz wurde Triebkopf 401 513 bis ins Jahr 1998 eingesetzt.
"Tz 107
Plattling
(seit 10.02.2006)","401 007
401 507","Langzug
(12 Mittelwagen)","02.06.1991
10.02.2006",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 108
Lichtenfels
(seit 27.07.2004)","401 008
401 508","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2023)","13.01.1991
16.03.2007
24.03.2023",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 109 
Aschaffenburg
(von 21.04.2004 bis 23.02.2015)
Lüneburg
(seit 17.12.2024)","401 009
401 509","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2005 bis 2024)","25.04.1991
16.12.2005
17.12.2024",ETCS Baseline 3.4.0 (seit 2024),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2024)","ICE 1 Aschaffenburg (Tz 109) im Berliner Ostbahnhof Teile des Triebzuges 109 wurden 2013 zum Messzug 1002 umgebaut. Dieser dient zur Messung von Radscheibenverdrehungen. Von 2013 bis 2024 war der Triebzug 109 aufgelöst, die Mittelwagen wurden anderen Triebzügen zugeteilt und die Triebköpfe dienten als Reserve. Der Triebzug wurde im Zuge des LDV-Programm im Dezember 2024 neu gebildet."
"Tz 110
Gelsenkirchen
(seit 07.09.2004)","401 010
401 510","Kurzzug
(9 Mittelwagen, seit Mai 2024)
Langzug
(12 Mittelwagen, von 2006 bis 2024)","22.02.1991
17.03.2006",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 111
Nürnberg
(von 20.02.2004 bis 02.07.2016, ab 02.08.2024)","401 011
401 511","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2005 bis 2024)","14.03.1991
25.07.2005
02.08.2024",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2010)","erster Redesign-Zug
→ Hauptartikel: Eisenbahnunfall im Landrückentunnel
Am 26. April 2008 entgleiste der ICE-1-Triebzug 111 mit den Triebköpfen 401 511 (führend) und 401 011 (nachlaufend) als ICE 885 im Landrückentunnel (Schnellfahrstrecke Hannover–Würzburg), nachdem er in eine Herde von über 20 Schafen gefahren war. Zehn Wagen und beide Triebköpfe des 14-teiligen Zuges entgleisten. Der Triebzug ist im Laufe des Jahres 2013 in den regulären Betrieb zurückgekehrt, nachdem die Mittelwagen fünf Jahre lang als Reservewagen für Schadwagen anderer Triebzüge genutzt worden sind.
Die Triebköpfe 401 011/401 511 sind mit neuen IGBT-Stromrichtern als Erprobungsträger ausgestattet."
"Tz 112
Memmingen
(seit 20.02.2004)","401 012
401 512","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006 bis 2024)","07.02.1991
24.02.2006
30.04.2024",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",Beide Triebköpfe trugen im Jahre 2018 eine Werbebeklebung für DB&Duplo „Die wahrscheinlich schnellste Praline auf deutscher Schiene!“.
"Tz 113
Frankenthal/Pfalz
(seit 19.05.2005)","401 051
401 513","Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2005 bis 2024)","02.04.1991
18.11.2005",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)","Zur Erprobung des Konzepts des verteilten Antriebs verkehrte Ende der 1990er Jahre der ICE-1-Triebzug 113 mit Triebköpfen der Bauart ICE 2 und einem neuen, angetriebenen Mittelwagen als ICE D. Am 17. November 2023 wurden der führende Triebkopf und 4 nachfolgende Mittelwagen im Bahnhof Reichertshausen bei einer Flankenfahrt mit einer Regionalbahn beschädigt. Der ICE war auf dem Weg als ICE 703 von Berlin nach München. Kehrte im Oktober 2024 als Kurzzug in den Einsatz zurück. Jedoch mit Mittelwagen aus Tz 153 und dem Reserve-Triebkopf 401 051."
"Tz 114
Friedrichshafen
(seit 14.06.2005)","401 014
401 514","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2005 bis 2025)","31.05.1991
28.09.2005
04.02.2025",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)","Am 14. September 2011 verunglückte dieser ICE-Triebzug als ICE 597 auf dem Weg von Ulm nach München auf dem Bahnübergang Waldstraße in Nersingen bei einer Kollision mit einem Pkw. Als Unfallursache wurde festgestellt, dass eine 77-jährige Autofahrerin das Rotlicht am Bahnübergang aufgrund einer Blendung durch die tiefstehende Sonne missachtet hatte und zwischen den sich schließenden Vollschranken eingesperrt wurde. Der Fahrdienstleiter des Bf. Nersingen seinerseits bemerkte dies trotz Kameraüberwachung nicht und gab den Fahrweg für den Zug frei. Bei der folgenden Kollision in einem leichten Rechtsbogen wurde der Pkw bei einer Geschwindigkeit von 160 km/h erfasst und zerrissen. Da die Autofahrerin sich in Sicherheit bringen konnte, gab es – auch im Zug – keinerlei Personenschäden. Am Triebkopf 401 514 entstand ein Schaden von etwa 1,5 Millionen EUR, er wurde repariert. Die gegen den Fahrdienstleiter wie auch die Autofahrerin eingeleiteten Ermittlungen wurden gegen Zahlung von Geldbußen in Höhe von 4000,- EUR bzw. 2000,- EUR eingestellt."
"Tz 115
Regensburg
(seit 20.02.2004)","401 015
401 515","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006 bis 2023)","01.05.1991
01.12.2006
01.09.2023",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 116
Pforzheim
(seit 01.07.2004)","401 016
401 516","Kurzzug
(9 Mittelwagen, seit Juni 2023)
Langzug
(12 Mittelwagen, von 2005 bis 2023)","01.05.1991
02.12.2005",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 117
Hof
(seit 06.10.2005)","401 017
401 517","Kurzzug
(9 Mittelwagen, seit Juli 2022)
Langzug
(12 Mittelwagen, von 2006 bis 2022)","01.05.1991
18.08.2006",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
Tz 118,"401 018
401 518","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2023)","07.02.1991
25.05.2007
13.07.2023",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 119
Osnabrück
(seit 19.06.2003)","401 019
401 519","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2024)","22.02.1991
30.11.2007
24.05.2024",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
