"Triebzug­nummer
Name","Abnahme
Redesign
Ausmusterung",Umbauten oder Um­rüstungen,zugeord­neter Trieb­kopf,"zugeordne­ter Steuer­wagen
(BR 808)",Bemerkung0
"Tz 201
Rheinsberg
(seit 15.10.2005)","20.11.1997
21.09.2012",Ausstattung mit WLAN-HotSpots (railnet),402 001,808 001,Der Steuerwagen 808 001 diente als Umbauprototyp für das Redesign und fuhr schon vor dem ersten Redesign-Zug mit veränderter Innenausstattung.
"Tz 202
Wuppertal
(seit 01.07.2003)","17.11.1997
16.08.2013",Ausstattung mit WLAN-HotSpots (railnet),402 002g,808 002g,Letzter Redesign-Zug
"Tz 203
Cottbus/Chóśebuz
(von 07.12.2002 bis 2024)","27.08.1997
22.07.2011
24.09.2024",,402 003,808 003,wurde im Februar 2025 in Eberswalde verschrottet
"Tz 204
Bielefeld
(seit 15.11.2002)","23.03.1998
22.02.2013",Ausstattung mit WLAN-HotSpots (railnet),402 004g,808 004g,
"Tz 205
Zwickau
(von 31.07.2004 bis 2024)","29.10.1997
15.05.2011
01.04.2024",,402 005,808 005,"Mittelwagen sind seit 2025 abgestellt, Triebkopf und Steuerwagen dienten bis August 2025 als Reservefahrzeuge und sind seitdem im SSM Leipzig–Engelsdorf abgestellt"
"Tz 206
Magdeburg
(seit 25.11.2002)","08.09.1997
31.05.2013",Ausstattung mit WLAN-HotSpots (railnet),402 006g,808 006,
"Tz 207
Stendal
(von 13.01.2003 bis 10.06.2025)","27.08.1997
03.02.2012
10.06.2025",,402 007,808 007,"Der Triebzug wurde im Juni 2025 ins SSM Leipzig-Engelsdorf abgestellt und anschließend, im August 2025, der Verschrottung zugeführt"
"Tz 208
Bonn
(seit 17.12.2002)","08.09.1997
14.11.2012",Ausstattung mit WLAN-HotSpots (railnet),402 008,808 008,
"Tz 209
Riesa
(von 30.08.2003 bis 2025)","04.09.1997
25.03.2011
09.01.2025",,402 009,808 009,"Triebzug wurde zusammen mit weiteren Fahrzeugen, darunter ein Bordrestaurant, aus anderen Triebzügen am 09.01.2025 in SM Mukran überführt."
"Tz 210
Fontanestadt Neuruppin
(seit 18.03.2006)","04.09.1997
12.12.2012",Ausstattung mit WLAN-HotSpots (railnet),402 010g,808 010,
"Tz 211
Uelzen
(seit 30.08.2008)","16.09.1997
12.04.2013",Ausstattung mit WLAN-HotSpots (railnet),402 011g,808 011g,
"Tz 212
Potsdam
(von 19.03.2003 bis 2025)","16.09.1997
17.06.2011
25.07.2025",,402 012,808 012,"Am 4. November 2017 in Sonderlackierung als „TRAIN TO BONN“ zur UN-Klimakonferenz in Bonn 2017 unterwegs.
Der Triebzug wurde im August 2025 ins SSM Leipzig-Engelsdorf überführt"
"Tz 213
Nauen
(seit 01.12.2007)","06.02.1998
11.11.2011",Ausstattung mit WLAN-HotSpots (railnet),402 013g,808 013g,
"Tz 214
Hamm (Westf.)
(von 27.09.2003 bis 2025)","25.09.1997
19.08.2011
25.07.2025",,402 014,808 014,Der Triebzug wurde im August 2025 ins SSM Leipzig-Engelsdorf überführt
"Tz 215
Bitterfeld
(von 17.07.2004 bis 24.07.2009)
Bitterfeld-Wolfen
(von 25.07.2009 bis 2025)","08.10.1997
21.05.2012
06.12.2025",,402 015,808 015,
"Tz 216
Dessau
(von 12.12.2002 bis 2024)","17.10.1997
12.07.2013
18.07.2024",,402 016,808 016,Dieser Triebzug wurde am 18. Juli 2024 ins Stillstandmanagement Mukran gebracht und anschließend im Oktober 2024 nach Eberswalde umgesetzt. Die Verschrottung durch die Firma Steil ist erfolgt.
"Tz 217
Bergen auf Rügen
(seit 09.07.2005)","25.09.1997
27.04.2011",Ausstattung mit WLAN-HotSpots (railnet),402 017g,808 017g,Triebkopf und erster Wagen der ersten Klasse trugen im Mai und Juni 2015 eine Sonderbeklebung Pokalexpress für DFB-Pokal.
"Tz 218
Braunschweig
(von 12.11.2002 bis 2025)","08.10.1997
25.06.2012
21.09.2025",,402 018g,808 018,
"Tz 219
Hagen
(seit 19.07.2003)","17.10.1997
17.02.2012",Ausstattung mit WLAN-HotSpots (railnet),402 019,808 019,Dieser Triebzug wurde zusammen mit Triebzug 239 im März und April 2025 für Mess- und Einstellungsarbeiten der Entrauchungs- und Lüftungsanlage in den neuen Tunneln und im neuen Stuttgart Hbf (tief) eingesetzt.
"Tz 220
Meiningen
(seit 01.10.2005)","29.10.1997
04.05.2012",Ausstattung mit WLAN-HotSpots (railnet),402 020,808 020,"aufgelöst, Triebkopf und Mittelwagen für IGBT-Testfahrten an DB Systemtechnik vermietet;
seit dem 11.10.2021 wieder im Planeinsatz."
"Tz 221
Lübbenau/Spreewald
(seit 27.03.2004)","17.11.1997
27.11.2012",Ausstattung mit WLAN-HotSpots (railnet),402 021,808 021,Am 9. Juli 2009 geriet der Triebkopf 402 021-0 in Hannover Hauptbahnhof in Brand.
"Tz 222
Eberswalde
(seit 12.05.2007)","20.11.1997
29.11.2011",Ausstattung mit WLAN-HotSpots (railnet),402 022g,808 022g,
"Tz 223
Schwerin
(seit 03.10.2003)","05.01.1998
17.08.2012",Ausstattung mit WLAN-HotSpots (railnet),402 023g,808 023g,
"Tz 224
Saalfeld (Saale)
(seit 19.06.2004)","05.01.1998
11.01.2013",Ausstattung mit WLAN-HotSpots (railnet),402 024,808 024g,
"Tz 225
Oldenburg (Oldb.)
(seit 27.06.2009)","17.12.1997
23.10.2012",Ausstattung mit WLAN-HotSpots (railnet),402 025g,808 025g,
"Tz 226
Lutherstadt Wittenberg
(seit 26.11.2002)","17.12.1997
10.07.2012",Ausstattung mit WLAN-HotSpots (railnet),402 026g,808 026g,
