"Triebzugnummer
Namensgebung","Indienststellung
Redesign
(Aktueller Status)",Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
"Tz 301
Freiburg im Breisgau
(seit 29. Januar 2003)","28. Juli 2000
22. November 2022
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 302
Hansestadt Lübeck
(seit 20. Februar 2004)","25. Mai 2000
24. Januar 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS","Am 24. Oktober 2002 trennten sich die beiden Hälften (hintere Hälfte bestehend aus Triebzug 302) eines mit etwa 200 Fahrgästen besetzten ICE-3-Vollzuges in Göttingen bei einer Geschwindigkeit von rund 50 km/h infolge einer gelösten Kupplung. Infolgedessen wurde vorübergehend ein Doppeltraktionsverbot für ICE 3 angeordnet.
Am 25. September 2022 gab es am ICE 622 in Bochum einen Schwelbrand. Der Triebzug war wenige Tage später wieder in Betrieb."
"Tz 303
Dortmund
(seit 28. November 2002)","25. Mai 2000
6. September 2018
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 304
München
(seit 10. Januar 2003)","24. Oktober 2000
8. Juni 2020
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS","Trägt seit dem 9. Juli 2021 anstatt des üblichen roten Zierstreifens einen Zierstreifen in Regenbogenfarben, welcher anlässlich des 10-jährigen Bestehens des LGBTIQ-Mitarbeitendennetzwerks und als Symbol für die Werte der DB angebracht wurde. Der Zugverband wurde im Dezember 2021 in AW Krefeld-Oppum getrennt. Die beiden 1.-Klasse-Wagen 403 022 und 403 104 wurden als Ersatz für die beschädigten Wagen 403 010 und 403 110 in den Zugverband des Triebzuges 310 eingereiht. Der Triebzug wurde mit den 1.-Klasse-Wagen 403 026 sowie 403 110 aufgefüllt und ist wieder mit Regenbogenstreifen unterwegs."
"Tz 305
Baden-Baden
(seit 5. November 2003)","27. Mai 2000
26. August 2022 
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 306
Nördlingen
(seit 28. Juni 2021)","25. Mai 2000
23. September 2019
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS","Am Abend des 24. Dezembers 2018 kollidierte ICE-3-Triebzug 306 am ICE-Werk München bei etwa 25 km/h mit ICE-T-Triebzug 1177. Der Endwagen 403 006 wurde beschädigt. In Verbindung mit dem Ausfall des Triebzugs 326 wurde am 14. Januar 2019 ein Ersatzkonzept eingeführt, um ICE-3-Leistungen durch ICE-4-Leistungen zu ersetzen.

Am Abend des 13. November 2022 kam es zu einem Schwelbrand am Zug. Der Zug war ursprünglich als ICE 526 nach Dortmund unterwegs. Der zweite unbeschädigte Zugteil konnte seine Fahrt als ICE 1000 fortsetzen."
"Tz 307
Oberhausen
(seit 2. September 2004)","27. Mai 2000
28. Juli 2023
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 308
Murnau am Staffelsee
(seit 27. Juni 2015)","9. Juni 2000
18. März 2022
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",Dieser Triebzug wurde anlässlich des Staatsbesuches von Wladimir Putin am 21. Dezember 2004 als Deutschland-Russland-Express beschriftet und für eine Sonderfahrt von Hamburg nach Schleswig eingesetzt.
"Tz 309
Aalen
(seit 21. Juni 2008)","25. Mai 2000
12. Dezember 2019
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 310
Wolfsburg
(seit 23. Januar 2003)","27. Mai 2000
4. April 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS
Wagen 403 022-7 für Wagen 403 010-2
Wagen 403 104-3 für Wagen 403 110-0","Am 9. Juli 2008 entgleiste dieser Triebzug, der als ICE 518 von München nach Dortmund unterwegs war, kurz nach 16 Uhr unmittelbar bei der Ausfahrt aus dem Kölner Hauptbahnhof vor der Hohenzollernbrücke. Als Ursache gilt eine gebrochene Radsatzwelle. Der Zug wurde durch eine Notbremsung zum Stillstand gebracht, nachdem der Radsatz über die Schwellen rollte. Verletzt wurde bei dem Unfall niemand, die Fahrgäste konnten über Türen am Ende der beiden Zugteile auf den Bahnsteig zurückkehren. Nach Angaben von Fahrgästen waren bereits vor Köln in einem Wagen auffällige Geräusche zu hören; nach Abfahrt in Köln sei einer der beiden Triebzüge zwischen zwei Wagen auseinandergerissen. Aufgrund von Gefahr im Verzug ordnete das Eisenbahn-Bundesamt am 10. Juli 2008 per Bescheid an, alle ICE-3-Züge nach Beendigung der Fahrt an diesem Tag außer Betrieb zu nehmen, bei denen die Ultraschall-Prüfung der Radsatzwellen mehr als 60.000 Kilometer zurücklag.
Nach einer Flankenfahrt / einem Rangierunfall am 9. November 2021 in München für Reparaturarbeiten außer Betrieb gesetzt. Die beiden beschädigten Wagen 403 010 und 403 110 wurden im Dezember 2021 im Ausbesserungswerk Krefeld durch 403 022 und 403 104 aus Triebzug 304 ersetzt. Endwagen 403 022 ist deshalb fälschlicherweise mit dem Taufnamen „München“ versehen. Endwagen 403 510 trägt weiterhin den korrekten Taufnamen „Wolfsburg“."
"Tz 311
Wiesbaden
(seit 15. Dezember 2002)","20. Juli 2000
22. April 2022
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS","Wurde Ende 2005 mit einer Beklebung für den damals neu eingeführten Telekom-Hotspot im ICE, einem Bestandteil des von der Deutschen Bahn und T-Mobile umgesetzten Projektes Railnet, versehen.
Dieser Triebzug diente in der Nacht zum 5. April 2008, zwischen 0:35 und 4:30 Uhr, im Günterscheidtunnel einer groß angelegten Rettungsübung. Im Drei-Jahres-Rhythmus finden derartige Übungen auf der Neubaustrecke statt.


		
			
			Der während der Übung zum Stehen gekommene ICE 3
		
		
			
			Eine Zugbegleiterin hilft einem Reisen­den per Ausstieg über eine Notleiter
		

Am 6. September 2015 verkehrte ein Sonderzug ICE 2908 mit Flüchtlingen von München nach Dortmund. Dieser war aus den Triebzügen 311 und 359 gebildet."
"Tz 312
Montabaur
(seit 17. September 2006)","27. Mai 2000
27. Januar 2022
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 313
Treuchtlingen
(seit 22. September 2004)","25. Juli 2000
17. Mai 2018
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 314
Bergisch Gladbach
(seit 2. November 2006)","23. Juli 2000
16. Februar 2018
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Wagen 403 019-3 und 403 119 für 403 014-4 und 403 114
Ausstattung mit ETCS","Zur Eröffnung des ICE-Instandhaltungswerkes Köln-Nippes wurde Triebzug 314 mit grünen Zierstreifen versehen für das Motto: Grün, grüner, ICE-Werk.
Trug seit 12. Mai 2019 eine Sonderfolierung „der kleine ICE“, welche inzwischen wieder entfernt wurde."
"Tz 315g
Singen (Hohentwiel)
(seit 7. Juni 2008)","24. August 2000
18. April 2018
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 316
Siegburg
(seit 22. Juli 2003)","25. Juli 2000
21. Februar 2020
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 317g
Recklinghausen
(seit 15. Juli 2003)","20. Juli 2000
21. Dezember 2022
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS
Ausstattung mit ETCS",
"Tz 318g
Münster (Westf.)
(seit 10. Juli 2003)","28. Juli 2000
24. November 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS","Am 24. August 2011 fuhr dieser Triebzug auf der Fahrt als ICE 1223 von Dortmund in Richtung Kassel mit 160 km/h im westfälischen Lippstadt in einen Traktor, der auf dem Bahnübergang stand. An Bord war auch SPD-Politiker Franz Müntefering."
"Tz 319
Duisburg
(seit 8. Oktober 2003)","8. September 2000
22. April 2020
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS
Wagen 403 014-4 und 403 131 für Wagen 403 019-3 und 403 119",
"Tz 320
Weil am Rhein
(seit 29. Mai 2016)","11. September 2000
29. Juni 2018
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
