"Triebzugnummer
Namensgebung",Indienststellung,Letzter Einsatz im Fahrgastverkehr,Außerbetriebnahme,"Auslands-
 zulassungen",Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
"Tz 4601
Europa/Europe
(seit 22. Mai 2019)",25. Juli 2001,16. April 2025,April 2025,"Belgien (ETCS), Niederlande",,"seit 23. Mai 2019 mit blauem anstelle eines roten Zierstreifens
Am 12. April 2025 fand eine offizielle Abschiedsfahrt für geladene Gäste und Eisenbahnfans von Hannover nach Amsterdam und von Amsterdam nach Frankfurt am Main über Köln statt. Die ICE mit den Nummern 13406 und 25 wurden aus den Triebzügen 4601 „Europa“ und 4651 „Amsterdam“ gebildet und mit einer mehrsprachigen Sonderbeklebung versehen. Dazu wurden noch die Landesflaggen aller Länder angebracht, die der ICE International in den 25 Jahren angefahren hat."
"Tz 4602
Euregio Maas-Rhein
 (seit 17. Februar 2020)",30. Juli 2001,16. April 2025,April 2025,"Belgien (ETCS), Niederlande",,
"Tz 4603
Mannheim
(seit 24. Februar 2003)",12. August 2000,15. April 2025,April 2025,"Belgien (ETCS), Niederlande",,"Dieser Triebzug erreichte am 3. September 2001 bei einer Zulassungsfahrt zwischen Rathenow und Wolfsburg eine Höchstgeschwindigkeit von 368,4 km/h. Das ist die höchste Geschwindigkeit, die ein nicht modifizierter Serienzug in Deutschland jemals erreicht hat."
"Tz 4604
Brussel/Bruxelles
(seit 28. November 2016)",11. August 2000,13. April 2025,April 2025,"Belgien (ETCS), Niederlande",Die beschädigten Wagen 406 004 und 104 aus dem Triebzug wurden 2023 durch Wagen 406 054 und 154 aus dem abgestellten Triebzug 4654 ersetzt.,"Am 10. November 2022 musste der Triebzug 4604 in Köln/Bonn Flughafen als ICE 814 von Frankfurt(Main)Hbf nach Köln Messe/Deutz seine Fahrt vorzeitig beenden, da es im Wagen 406 104 zu einem Brand im Schaltschrank gekommen ist. Der betroffene Wagen wurde erheblich beschädigt, auch der Endwagen erster Klasse wurde durch den Rauch beschädigt. Bei diesem Zwischenfall gab es nach Presseangaben eine Person mit leichter Rauchgasvergiftung."
"Tz 4605
Würzburg
(vom 20. November 2002 bis 17. Juli 2006)",1. November 2000,15. April 2025,April 2025,"Belgien, Niederlande","Umbau zu Tz 4680
17. Juli 2006",
"Tz 4680
Würzburg
(seit 17. Juli 2006)",17. Juli 2006,15. April 2025,April 2025,"Frankreich, Niederlande
(2006–2014)
Belgien (ETCS), Niederlande
(2014–2025)",,Premierenfahrt am 25. Mai 2007 mit geladenen Gästen über die LGV Est européenne nach Paris
"Tz 4606
Limburg an der Lahn
(vom 24. Januar 2004 bis 8. November 2006)",24. Dezember 2002,13. August 2024,September 2024,"Belgien, Niederlande","Umbau zu Tz 4683
8. November 2006",
"Tz 4683
Limburg an der Lahn
(seit 8. November 2006)",8. November 2006,13. August 2024,September 2024,"Frankreich, Niederlande
(2006–2014)
Belgien (ETCS), Niederlande
(2014–2025)",Wagen 406 783 wurde im Juni 2024 durch die Wagen 406 785 aus dem abgestellten Triebzug 4685 ersetzt.,Stand zwischen September 2024 und April 2025 im SSM Leipzig-Engelsdorf und wurde am 17. April 2025 zur Verschrottung nach Espenhain überführt.
"Tz 4607
Hannover
(seit 8. Januar 2003)",1. November 2000,14. März 2025,März 2025,"Belgien (ETCS), Niederlande",,"Dieser Triebzug eröffnete am 25. Juli 2002 zusammen mit dem Triebzug 318 der Reihe 403 die Schnellfahrstrecke Köln–Rhein/Main.
Der Triebzug ist abgestellt in der Nähe vom ICE Werk Frankfurt Griesheim."
Tz 4608,3. Mai 2001,17. August 2010,7. Juli 2011,"Belgien, Niederlande","Umbau zu Tz 4681
(18. Juli 2006)","Erster ICE-Triebzug, welcher im Rahmen von Zulassungsfahrten in Belgien und Frankreich am 7. Juli 2003 die Stadt Paris erreichte. In einem symbolischen Akt wurde er dabei mechanisch mit dem TGV-Triebzug 509 gekuppelt, um das Zusammenwachsen des europäischen Hochgeschwindigkeitsverkehrs zu verdeutlichen."
