"Triebzugnummer
(Namensgebung)","Indienststellung
(Aktueller Status)","Auslands-
 zulassungen
ETCS-Version",Umbauten oder Umrüstungen,Sonstiges
Tz 701I,,,,"Als Triebzug 701 war dieser Zug ursprünglich Teil der Auslieferungsserie für die Deutsche Bahn. Aufgrund von technischen Abweichungen von den anderen Serienzügen wurde er aber von der Deutschen Bahn nicht abgenommen. Siemens nutzte ihn daraufhin als Vorführtriebzug in der Türkei, wo er seit 2013 für die TCDD unterwegs ist."
Tz 701II,20. Juni 2016 (aktiv),"Frankreich
ETCS Baseline 3.4.0 (seit Oktober 2025)",Ausstattung mit WLAN-HotSpots (railnet),"Im Juni 2016 lieferte Siemens einen weiteren Triebzug an die DB. Dieser erhielt die Nummer 701 und ersetzt den ursprünglich geplanten Triebzug 701. Damit sind, Stand November 2016, alle 17 Triebzüge ausgeliefert."
Tz 702g,14. Feb. 2011 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),"Am 18. April 2011 verließ der Triebzug als erster das Siemens-Prüfzentrum Wildenrath zu Probefahrten. Er erreichte als erster Velaro D eine Geschwindigkeit von 320 km/h. Bei weiteren Versuchsfahrten am 4. August 2011 erreichte diese Einheit zwischen Ingolstadt und Nürnberg 357 km/h.
Dieser Triebzug wurde im Dezember 2024 an beiden Endwagen mit der Werbung für die neue direkte ICE-Verbindung Paris–Berlin versehen. Er kam am 16. Dezember 2024 auf der ersten ICE-Fahrt mit Fahrgästen von Paris nach Berlin zum Einsatz."
Tz 703g,14. Dez. 2014 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
Tz 704,22. Sep. 2011 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
Tz 705,1. Juli 2011 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
Tz 706,1. Aug. 2011 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
Tz 707,27. Aug. 2011 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),Ein Endwagen war anlässlich der Bekanntgabe der Star-Alliance-Mitgliedschaft der DB für wenige Tage mit Star-Alliance-Werbung beklebt.
Tz 708g,19. Sep. 2011 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
Tz 709g,21. Nov. 2011 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
"Tz 710 
Ansbach
(seit 5. Dezember 2022)",9. Jan. 2012 (aktiv),"Frankreich
ETCS Baseline 3.4.0 (seit 2025)",Ausstattung mit WLAN-HotSpots (railnet),
Tz 711g,2. Jan. 2012 (aktiv),"Frankreich
ETCS Baseline 3.4.0 (seit 2024)",Ausstattung mit WLAN-HotSpots (railnet),
"Tz 712
Dillingen a. d. Donau
(seit 2. Dezember 2019)",13. Feb. 2012 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
Tz 713g,12. Mai 2012 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
Tz 714,2. Juni 2012 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),Der Triebzug wurde im Prüfcenter Wegberg-Wildenrath beschädigt und repariert.
Tz 715,2. Juli 2012 (aktiv),"Frankreich
ETCS Baseline 3.4.0 (seit 2024)",Ausstattung mit WLAN-HotSpots (railnet),Zum Jubiläum 175 Jahre Ferneisenbahn Leipzig–Dresden fuhr dieser Triebzug am 7. April 2014 als Sonderzug ICE 2582 und ICE 2583 mit geladenen Gästen zwischen Leipzig und Dresden. Dazu wurde er mit einer für diesen Anlass besonderen Beklebung versehen.
Tz 716,30. Juli 2012 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),
"Tz 717
Paris
(seit 31. Mai 2017)",3. Sep. 2012 (aktiv),Frankreich,Ausstattung mit WLAN-HotSpots (railnet),"Erster Triebzug der Baureihe 407, der am 21. Dezember 2013 als ICE 817 Köln–Frankfurt im kommerziellen Einsatz war.
Dieser Triebzug wurde im Dezember 2024 an beiden Endwagen mit der Werbung für die neue direkte ICE-Verbindung Paris–Berlin versehen. Er kam am 16. Dezember 2024 auf der ersten ICE-Fahrt mit Fahrgästen von Berlin nach Paris zum Einsatz."
