"Triebzugnummer
Namensgebung","Indienststellung
Redesign
(Aktueller Status)","Auslands-
zulassungen
 und Besonderheiten",Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
"Tz 1101g
Neustadt an der Weinstraße
(seit 26. Juni 2003)","7. Januar 2000
30. November 2015
(aktiv)",Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",
"Tz 1102g
Neubrandenburg
(seit 30. September 2003)","25. August 2000
14. Februar 2014
(aktiv)",Österreich (inkl. ETCS),"Wagen 411 206 für Wagen 411 202;
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",Präsentationszug für das lokale Informations- und Entertainmentportal
"Tz 1103g
Paderborn
(seit 25. Juni 2003)","31. Mai 2000
27. Februar 2015
(aktiv)",Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",
"Tz 1104
Erfurt
(seit 21. November 2002)","17. Dezember 1999
31. Juli 2015
(aktiv)",Österreich (inkl. ETCS),"Wagen 411 006 für Wagen 411 004
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",Prellbockauffahrt im April 2009 in Wien
"Tz 1105g
Dresden
(seit 20. Dezember 2002)","27. Mai 2000
10. Oktober 2015
(aktiv)",Österreich (inkl. ETCS),"Wagen 411 572 für Wagen 411 505
Wagen 411 592 für Wagen 411 572
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",
"Tz 1106
Passau
(von 27. März 2003 bis 14. September 2004)","30. Oktober 2000
am 14. September 2004 aufgelöst",,zerstörte Wagen 411 806 und 706 wurden ausgemustert,"Der Triebzug 1106 wurde in der Nacht vom 5. auf den 6. Januar 2004 gegen 2.30 durch einen Brand in der Abstellanlage Leipzig soweit beschädigt, dass er nicht mehr einsatzbereit war. Die verschont gebliebenen Endwagen dieses Triebzuges werden gelegentlich als Ersatz für defekte Endwagen anderer Triebzüge eingesetzt. Der Name „Passau“ wurde an den Triebzug 1159 abgegeben."
"Tz 1107g
Pirna
(seit 14. Juni 2003)","17. Dezember 1999
8. August 2014
(aktiv)",Österreich (inkl. ETCS),"Wagen 411 720-6 für Wagen 411 707-3
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger in Wagen Baureihe 411.8",
"Tz 1108g
Hansestadt Wismar
(von 2. August 2003 bis 12. Dezember 2004)
Berlin
(seit 12. Dezember 2004)","17. Dezember 1999
4. Dezember 2015
(aktiv)",Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",Die Endwagen 411 008 und 411 508 trugen im Oktober 2019 im Rahmen der Frankfurter Buchmesse kurzzeitig die Beklebung „DB–Literaturzug“.
"Tz 1109
Güstrow
(seit 21. Juni 2003)","17. Dezember 1999
10. Januar 2014
(aktiv)",Österreich (inkl. ETCS),"Wagen 411 820-4 für Wagen 411 809-7;
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",
"Tz 1110g
Naumburg (Saale)
(seit 22. November 2003)","15. Oktober 1999
11. September 2015
(aktiv)",Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",
"Tz 1111g
Berlin
(von 31. Oktober 2002 bis 12. Dezember 2004)
Hansestadt Wismar
(seit 12. Dezember 2004)","17. Dezember 1999
24. Juni 2015
(aktiv)",Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradständer im Wagen Baureihe 411.8 Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
