"Triebzug­nummer, Namens­gebung","Indienst­stellung
 Redesign
(Aktueller Status)",Auslands­zulassungen und Beson­derheiten,Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
Tz 9001,18. April 2015,"Schweiz, Österreich,
265 km/h",,"Vorserieneinheit, zwölfteilig"
Tz 9002,22. Mai 2015,"Schweiz, Österreich,
265 km/h",,"Vorserieneinheit, zwölfteilig"
Tz 9003,15. Juni 2015,"Schweiz, Österreich,
265 km/h",,"Vorserieneinheit, zwölfteilig"
Tz 9004,23. September 2015,"Schweiz, Österreich,
265 km/h",,"Vorserieneinheit, zwölfteilig – war 2016 und 2017 zur Erprobung neuartiger Drehgestelle mit anderen Schwingungsdämpfern (in blauer Lackierung) unterwegs"
Tz 9005,20. Oktober 2015,"Schweiz, Österreich,
265 km/h",,"Vorserieneinheit, zwölfteilig"
"Tz 9006
Martin Luther
(seit 7. November 2016)",6. November 2015,"Schweiz, Österreich,
265 km/h",Wagen 2412 766 anstelle des 2412 006 (31. Oktober 2021 bis ca. 10. Juni 2022),"Vorserieneinheit, zwölfteilig
erhielt als erster Triebzug eine Hauptuntersuchung (im Testzentrum Wegberg-Wildenrath), zum 2. Oktober 2020"
Tz 9007,1. Februar 2016,"Schweiz, Österreich,
265 km/h",,"Vorserieneinheit, zwölfteilig – war im März und April 2018 für Zulassungsfahrten in der Schweiz unterwegs"
Tz 9008,14. Juli 2017,"Schweiz, Österreich,
265 km/h",,In den letzten beiden Mai-Wochen 2021 für Zulassungsfahrten in Österreich unterwegs. Fuhr am 20. Oktober 2023 als ICE 594 (München – Hamburg) in Stuttgart Hbf gegen einen Prellbock. Rückkehr in den Dienst am 24.10.23 als ICE 596.
"Tz 9009
Cottbus/Chóśebuz
(seit 6. Juni 2025)",16. August 2017,"Schweiz, Österreich,
265 km/h",,
Tz 9010,5. September 2017,"Schweiz, Österreich,
265 km/h",,
Tz 9011,18. Oktober 2017,"Schweiz, Österreich,
265 km/h",,
Tz 9012,16. Oktober 2017,"Schweiz, Österreich,
265 km/h",,Dieser Triebzug war von Februar bis Mai 2018 für eine Gewinnspielaktion mit grünem Zierstreifen versehen.
Tz 9013,15. Februar 2018,"Schweiz, Österreich,
265 km/h",,Beim Hochwasser in Süddeutschland am 1. Juni 2024 gegen 23:30 Uhr entgleiste nach einem Erdrutsch in Schwäbisch Gmünd während einer Umleitung der führende Endwagen mit beiden Drehgestellen.
Tz 9014,10. Januar 2018,"Schweiz, Österreich,
265 km/h",Wagen 1412 060 anstelle von Wagen 1412 014 (seit 24. Juli 2025),"absolvierte von März bis Juni 2018 ETCS-Testfahrten auf der VDE 8 für die Zulassung der Fahrzeuggeräte, im März 2019 testweise mit einem dreizehnten Mittelwagen (Powercar) für Versuchsfahrten unterwegs.
Abnahme durch die DB für den Fahrgasteinsatz am 25. Mai 2020."
Tz 9015,2. Februar 2018,"Schweiz, Österreich,
265 km/h",,
Tz 9016,12. März 2018,"Schweiz, Österreich,
265 km/h",,für Filmaufnahmen vom 31. Mai 2018 bis 7. Juni 2018 in Leipzig Hbf
Tz 9017,27. März 2018,"Schweiz, Österreich,
265 km/h",,absolviert im Juli 2018 Zulassungsfahrten. Triebzug aus der Fernsehsendung Die Sendung mit der Maus Juli/August 2018
"Tz 9018
Freistaat Bayern
(seit 18. Juli 2018)",28. April 2018,"Schweiz, Österreich,
265 km/h",,
Tz 9019,25. Mai 2018,"Schweiz, Österreich,
265 km/h",Wagen 2412 049 anstelle von Wagen 2412 019 (vom 25. Oktober 2022 bis 29. März 2023),Werbung an beiden Endwagen für Paramount+ als Angebot im ICE Portal von Januar bis März 2023.
Tz 9020,28. Juni 2018,"Schweiz, Österreich,
265 km/h",,
Tz 9021,19. Juli 2018,"Schweiz, Österreich,
265 km/h",,
Tz 9022,14. August 2018,"Schweiz, Österreich,
265 km/h",,
