"Triebzugnummer
Namensgebung","Indienststellung
Redesign
Ausmusterung","Auslands-
zulassungen
 und Besonderheiten",Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
"Tz 1501
Eisenach
(seit 13. Mai 2003)","15. Mai 2001
17. Juli 2015
24. Februar 2024",ETCS Baseline 3.4.0 (2016–2025),,"Seit Dezember 2025 in Opladen zur Verschrottung.
Am 27. Dezember 2025 wurde der Triebzug jedoch wieder abgeholt und nach Krefeld überführt."
"Tz 1502g
Karlsruhe
(seit 18. Dezember 2002)","20. August 1999
28. August 2015
11. Juni 2025",ETCS Baseline 3.4.0 (2016–2025),,Am 4. Dezember 2012 wurde der Triebzug 1502 zur offiziellen Eröffnungsfahrt des Katzenbergtunnels eingesetzt. Dieser Triebzug dient dem Betriebswerk Leipzig als Ersatzteilspender und ist dort abgestellt.
"Tz 1503g
 Altenbeken
(seit 11. Juli 2003)","20. August 1999
9. Oktober 2015
(aktiv)",ETCS Baseline 3.4.0 (2016–2025),,
"Tz 1504g
Heidelberg
(5. Dezember 2002)","26. November 1999
16. Januar 2015
30. August 2025",ETCS Baseline 3.4.0 (2016–2025),,"Am 9. Dezember 2015 wurde der Triebzug 1504 mit der Beschriftung Erfurt zur offiziellen Eröffnungsfahrt der Schnellfahrstrecke Erfurt–Leipzig/Halle eingesetzt
Dieser Triebzug dient dem Betriebswerk Leipzig als Ersatzteilspender und ist dort abgestellt."
"Tz 1505
Marburg/Lahn
(seit 5. Juni 2003)","17. Dezember 1999
31. März 2015
18. April 2025",ETCS Baseline 3.4.0 (2016–2025),,
"Tz 1506
Kassel
(seit 17. Dezember 2002)","27. Mai 2000
30. April 2015
19. Mai 2025",ETCS Baseline 3.4.0 (2016–2025),ausgeliefert mit Mittelwagen aus Tz 1582,
"Tz 1520g
Gotha
(seit 8. November 2006)","8. November 2006
19. Juni 2015
(aktiv)",ETCS Baseline 3.4.0 (2016–2025),gebildet aus umgezeichneten Endwagen vom Tz 1120 und Mittelwagen vom Tz 1580,
"Tz 1521
Homburg/Saar
(seit 8. November 2006)","8. November 2006
13. Mai 2015
14. Juni 2025",ETCS Baseline 3.4.0 (2016–2025),gebildet aus umgezeichneten Endwagen vom Tz 1121 und Mittelwagen vom Tz 1581,Am 6. März 2024 als führender Triebzug des ICE 1651 (Wiesbaden Hbf – Dresden Hbf) in Leipzig Hbf auf den Prellbock von Gleis 14 aufgefahren.
"Tz 1522
Torgau
(seit 2. Januar 2007)","2. Januar 2007
31. Juli 2015
8. Juni 2025",ETCS Baseline 3.4.0 (2016–2025),gebildet aus umgezeichneten Endwagen vom Tz 1122 und Mittelwagen vom Tz 1582,ausgeliefert mit Mittelwagen aus Tz 1506; Von Anfang 2010 bis September 2011 mit Jubiläumsbeklebung 175 Jahre deutsche Eisenbahn anstelle des Taufnamens.
"Tz 1523g
Hansestadt Greifswald
(seit 8. November 2006)","8. November 2006
13. März 2015
(aktiv)",ETCS Baseline 3.4.0 (2016–2025),"gebildet aus umgezeichneten Endwagen vom Tz 1123 und Mittelwagen vom Tz 1583
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1524g
Hansestadt Rostock
(seit 12. September 2006)","12. September 2006
2. Oktober 2015
(aktiv)",ETCS Baseline 3.4.0 (2016–2025),gebildet aus umgezeichneten Endwagen vom Tz 1124 und Mittelwagen vom Tz 1584,
"Tz 1580
Darmstadt
(von 30. November 2002 bis 8. November 2006)","28. Mai 1999
am 8. November 2006 aufgelöst",Schweiz,umgebaut in Tz 1180,
"Tz 1581
Horb am Neckar
(von 23. Juni 2003 bis 8. November 2006)","29. Mai 1999
am 8. November 2006 aufgelöst",Schweiz,umgebaut in Tz 1181,
"Tz 1582
Mainz
(von 17. Januar 2003 bis 23. Januar 2007)","30. September 1999
am 23. Januar 2007 aufgelöst",Schweiz,umgebaut in Tz 1182,
"Tz 1583
Oberursel (Taunus)
(von 9. Mai 2004 bis 29. November 2006)","28. Mai 1999
am 29. November 2006 aufgelöst",Schweiz,umgebaut in Tz 1183,
"Tz 1584
Kaiserslautern
(von 26. März 2003 bis 12. September 2006)","28. Mai 1999
am 12. September 2006 aufgelöst",Schweiz,umgebaut in Tz 1184,
