"Triebzug-
nummer",Abnahme,Umbauten,"Außerbetrieb-
 setzung
Ausmusterung",Verschrottung oder Verbleib,"Bemerkungen und
besondere Vorkommnisse"
Tz 5501,22. April 2001,,1. Januar 2011,abgestellt in Halle-Ammendorf,Wagen 605 101 wurde in Tz 5516 eingestellt.
Tz 5502,16. Mai 2001,,28. November 2014,abgestellt im DB Stillstandsmanagement,"Am 13. Januar 2000 erreichte Triebzug der 5502 bei einer Testfahrt zwischen Göttingen und Hannover eine Höchstgeschwindigkeit von 222 km/h und löste damit die Bestmarke für einen Verbrennungstriebwagen von der DB-Baureihe 602 aus dem Jahre 1975 mit 217 km/h ab.
Der Triebzug 5502 wurde zum 28. November 2014 offiziell ausgemustert. Seine Komponenten sollten für die Wiederinbetriebnahme der Triebzüge 5512 und 5513 verwendet werden."
Tz 5503,7. Mai 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im September 2011 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",23. Dezember 2016,kompletter Triebzug zerlegt zwischen 15. und 19. April 2021 in Opladen,"Am 2. Dezember 2002 brach im Mittelwagen 605 203 eine Radsatzwelle, als dieser Triebzug als ICE 1799 bei Gutenfürst unterwegs war. Bei der nachfolgenden Entgleisung bei 130 km/h wurde niemand verletzt. In der Folge der Entgleisung wurde die Neigetechnik bei allen ICE-TD abgeschaltet. Zwischen 24. Juli 2003 und 13. August 2003 wurde seitens des EBA die Betriebserlaubnis zeitweise sogar ganz entzogen. Erst ein Achstausch führte zu einer Neuzulassung mit Neigetechnik am 1. Dezember 2003."
Tz 5504,22. April 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im Dezember 2011 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",23. November 2016,kompletter Triebzug zwischen 29. September und 5. Oktober 2020 in Opladen zerlegt,
Tz 5505,1. Juni 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im September 2012 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",24. Oktober 2016,kompletter Triebzug im Januar 2025 in Halle-Ammendorf zerlegt,Wurde als Ersatzteilspender für advanced TrainLab genutzt
Tz 5506,5. Mai 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im Juli 2012 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",23. Dezember 2016,kompletter Triebzug zwischen 25. und 27. November 2020 in Opladen zerlegt,Fuhr ab dem 18. März 2014 in den blau-grauen Hausfarben der DSB.
Tz 5507,1. Juni 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im November 2011 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)
Neigetechnik wurde 2012 in Berlin ausgebaut, dadurch Verlust der EBA-Zulassung nach Entfernung der Neigetechnik.
2014 wurden mechanische Teile der Neigetechnik in den Drehgestellen wieder eingebaut. Zwischen Dezember 2014 und Dezember 2018 war der Zug wieder im regulären Einsatz.",13. April 2017,kompletter Triebzug zwischen 10. und 12. November 2020 in Opladen zerlegt,Messfahrten durch DB Systemtechnik für EBA-Serienzulassung („NT Ausbau BR 605“). Im Januar 2013 bei Testfahrten mit einem Messachsenschaden in Haste liegen geblieben. Eine Zulassung konnte nicht erreicht werden.
Tz 5508,7. Juni 2001,war im Reaktivierungsprogramm (Revision ausgeführt 11. Dezember 2012). Nach Ausbau der Neigetechnik EBA-Zulassung erloschen.,4. Februar 2016,kompletter Triebzug in der zweiten Juli-Hälfte 2020 im Ausbesserungswerk Krefeld-Oppum zerlegt,
Tz 5509,16. Juni 2001,,ausgemustert 31. Dezember 2002,Reste der intakten Wagen zerlegt am 7. Juni 2016 im Güterbahnhof Hagen,"Im September 2001 stürzte der Wagen 605 009 im Bahnbetriebswerk Hof infolge eines Defekts an einer Hubbockanlage von einer Hebebühne. Der benachbarte Mittelwagen 605 109 wurde leicht beschädigt. Der schwer beschädigte Endwagen wurde 2002 ins Bombardier-Werk Ammendorf gebracht und zur Erarbeitung eines Reparaturangebots bis auf den Rohbau zerlegt. Nachdem es nicht zu einer Wiederaufarbeitung gekommen war, wurden beide Fahrzeuge zum 31. Dezember 2002 ausgemustert und die Überreste als Ersatzteile im Werk Chemnitz eingelagert. Die unbeschädigt gebliebenen Wagen 605 209 und 509 wurden bis Frühjahr 2004 auf Straßen-Tiefladern nach Chemnitz transportiert. Im Juli 2011 wurde der Zug, ebenfalls über die Straße, mittels Schwertransport von Chemnitz nach Hagen transportiert und nunmehr dort eingelagert. Im Juni 2016 wurden die Mittelwagen 605 209 und 509 in Hagen zerlegt."
Tz 5510,22. April 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
von Dezember 2012 bis 31. Januar 2013 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",23. Dezember 2016,"Überführung im Januar 2020 nach Halle-Ammendorf (MSG), Verbleib bei DB AG als Ersatzteilspender",Der Triebzug 5510 wurde am 3. Januar 2020 vom Stillstandsmanagement wieder an DB Fernverkehr übergeben. Eine Aufarbeitung ist nicht geplant.
